taxon_name,firstapp_max_ma,lastapp_min_ma
Oryctodromeus_cubicularis,39.3,33.599999999999994
Zephyrosaurus_schaffi,47,34.5
Orodromeus_makelai,17.599999999999994,0
Burianosaurus_augustai,33.599999999999994,27.5
Gideonmantellia_amosanjuanae,64,59.45
Qantassaurus_intrepidus,56.459999999999994,46.03
Rhabdodon_priscus,17.5,0
Rhabdodon_septimanicus,17.5,0
Pareisactus_evrostos,4.599999999999994,0
Zalmoxes_robustus,17.5,0
Zalmoxes_shqiperorum,4.599999999999994,0
Mochlodon_vorosi,20.299999999999997,17.599999999999994
Rhabdodon_suessi,17.5,0
Matheronodon_provincialis,17.5,4.599999999999994
Muttaburrasaurus_langdoni,39.3,33.599999999999994
Fostoria_dhimbangunmal,33.599999999999994,27.5
Draconyx_loureiroi,89.69999999999999,79
Camptosaurus_aphanoecetes,84.80000000000001,79
Camptosaurus_dispar,91.30000000000001,79
Iguanodon_galvensis,64,59.45
Iguanodon_major,70.4,59.45
Iguanodon_bernissartensis,84.80000000000001,34.5
Iguanodon_mantelli,79,43
Hypselospinus_fittoni,79,70.4
Ouranosaurus_nigeriensis,59,34.5
Altirhinus_kurzanovi,43,33.599999999999994
Bolong_yixianensis,64,56.459999999999994
Barilium_dawsoni,74.19999999999999,59.45
Mantellisaurus_atherfieldensis,79,56.459999999999994
Jinzhousaurus_yangi,64,59.45
Bayannurosaurus_perfectus,59.45,56.459999999999994
Owenodon_hoggii,86.1,74.19999999999999
Eousdryosaurus_nanohallucis,89.69999999999999,79
Dakotadon_lakotaensis,73.80000000000001,66.9
Proa_valdearinnoensis,46.03,43
Brighstoneus_simmondsi,64,59.45
Tethyshadros_insularis,17.5,4.599999999999994
Ratchasimasaurus_suranareae,59,47
Probactrosaurus_gobiensis,63.400000000000006,34.5
Batyrosaurus_rozhdestvenskyi,20.299999999999997,4.599999999999994
Zhanghenglong_yangchengensis,20.299999999999997,17.599999999999994
Datonglong_tianzhenensis,34.5,6.099999999999994
Penelopognathus_weishampeli,59,47
Fukuisaurus_tetoriensis,59,47
Sirindhorna_khoratensis,59,34.5
Huehuecanauhtlus_tiquichensis,20.299999999999997,17.599999999999994
Morelladon_beltrani,64,59.45
Zuoyunlong_huangi,34.5,17.599999999999994
Yunganglong_datongensis,34.5,17.599999999999994
Shuangmiaosaurus_gilmorei,39.3,33.599999999999994
Claosaurus_agilis,23.299999999999997,4.599999999999994
Cedrorestes_crichtoni,73.80000000000001,66.9
Koshisaurus_katsuyama,59,47
Gobihadros_mongoliensis,34.5,17.599999999999994
Jeyawati_rugoculus,27.5,23.299999999999997
Gilmoreosaurus_mongoliensis,17.5,4.599999999999994
Telmatosaurus_transsylvanicus,17.5,0
Equijubus_normani,46.03,43
Xuwulong_yueluni,59,47
Portellsaurus_sosbaynati,64,59.45
Levnesovia_transoxiana,27.5,23.299999999999997
Nanyangosaurus_zhugeii,27.5,4.599999999999994
Gongpoquansaurus_mazongshanensis,46.03,43
Plesiohadros_djadokhtaensis,19.799999999999997,4.599999999999994
Fylax_thyrakolasus,4.599999999999994,0
Jintasaurus_meniscus,59,47
Protohadros_byrdi,33.599999999999994,27.5
Eolambia_caroljonesa,59,27.5
Tanius_sinensis,23.799999999999997,6.099999999999994
Tanius_chingkankouensis,17.599999999999994,6.099999999999994
Nanningosaurus_dashiensis,34.5,0
Bactrosaurus_johnsoni,34.5,0
Laiyangosaurus_youngi,17.599999999999994,6.099999999999994
Barsboldia_sicinskii,6.099999999999994,0
Rhinorex_condrupus,17.5,4.599999999999994
Eotrachodon_orientalis,19.799999999999997,17.5
Lapampasaurus_cholinoi,17.5,0
Aquilarhinus_palimentus,17.5,4.599999999999994
Yamatosaurus_izanagii,4.599999999999994,0
Kazaklambia_convincens,23.799999999999997,17.599999999999994
Adelolophus_hutchisoni,17.5,4.599999999999994
Tsintaosaurus_spinorhinus,17.599999999999994,6.099999999999994
Magnapaulia_laticaudus,17.5,4.599999999999994
Olorotitan_arharensis,4.599999999999994,0
Nipponosaurus_sachalinensis,19.799999999999997,4.599999999999994
Arenysaurus_ardevoli,4.599999999999994,0
Adynomosaurus_arcanus,4.599999999999994,0
Pararhabdodon_isonensis,4.599999999999994,0
Canardia_garonnensis,4.599999999999994,0
Ajnabia_odysseus,4.599999999999994,0
Blasisaurus_canudoi,4.599999999999994,0
Charonosaurus_jiayinensis,6.099999999999994,0
Parasaurolophus_cyrtocristatus,17.5,4.599999999999994
Parasaurolophus_walkeri,17.5,4.599999999999994
Parasaurolophus_tubicen,17.5,4.599999999999994
Tlatolophus_galorum,17.5,4.599999999999994
Angulomastacator_daviesi,17.5,4.599999999999994
Amurosaurus_riabinini,6.099999999999994,0
Aralosaurus_tuberiferus,20.299999999999997,4.599999999999994
Jaxartosaurus_aralensis,23.799999999999997,17.599999999999994
Latirhinus_uitstlani,17.5,4.599999999999994
Hypacrosaurus_altispinus,17.599999999999994,0
Hypacrosaurus_stebingeri,17.599999999999994,4.599999999999994
Corythosaurus_intermedius,17.5,4.599999999999994
Corythosaurus_casuarius,17.599999999999994,4.599999999999994
Lambeosaurus_clavinitialis,17.599999999999994,4.599999999999994
Lambeosaurus_lambei,17.599999999999994,4.599999999999994
Lambeosaurus_magnicristatus,17.5,4.599999999999994
Velafrons_coahuilensis,17.5,4.599999999999994
Kamuysaurus_japonicus,4.599999999999994,0
Acristavus_gagslarsoni,17.5,4.599999999999994
Wulagasaurus_dongi,6.099999999999994,0
Maiasaura_peeblesorum,17.599999999999994,6.099999999999994
Brachylophosaurus_canadensis,17.599999999999994,4.599999999999994
Probrachylophosaurus_bergei,17.5,4.599999999999994
Ornatops_incantatus,17.5,4.599999999999994
Hadrosaurus_foulkii,17.599999999999994,4.599999999999994
Secernosaurus_koerneri,17.599999999999994,0
Kritosaurus_navajovius,17.5,4.599999999999994
Kelumapusaura_machi,17.5,0
Naashoibitosaurus_ostromi,17.5,4.599999999999994
Huallasaurus_australis,17.5,0
Gryposaurus_latidens,19.799999999999997,4.599999999999994
Gryposaurus_notabilis,17.5,4.599999999999994
Gryposaurus_monumentensis,17.5,4.599999999999994
Gryposaurus_alsatei,4.599999999999994,0
Saurolophus_angustirostris,6.099999999999994,0
Saurolophus_osborni,17.5,0
Augustynolophus_morrisi,4.599999999999994,0
Bonapartesaurus_rionegrensis,17.5,0
Lophorhothon_atopus,17.5,4.599999999999994
Prosaurolophus_maximus,17.599999999999994,0
Mandschurosaurus_amurensis,6.099999999999994,0
Ugrunaaluk_kuukpikensis,4.599999999999994,0
Kerberosaurus_manakini,4.599999999999994,0
Shantungosaurus_giganteus,17.599999999999994,0
Edmontosaurus_regalis,17.5,0
Edmontosaurus_annectens,17.599999999999994,0
Anasazisaurus_horneri,17.5,4.599999999999994
Siamodon_nimngami,59,34.5
Magnamanus_soriaensis,70.4,59.45
Theiophytalia_kerri,59,34.5
Cumnoria_prestwichii,89.69999999999999,84.80000000000001
Delapparentia_turolensis,64,59.45
Hippodraco_scutodens,73.80000000000001,66.9
Riabininohadros_weberae,4.599999999999994,0
Iguanacolossus_fortis,79,66.9
Lanzhousaurus_magnidens,64,47
Elrhazosaurus_nigeriensis,59,47
Valdosaurus_canaliculatus,79,59
Callovosaurus_leedsi,98.69999999999999,95.19999999999999
Dysalotosaurus_lettowvorbecki,89.69999999999999,84.80000000000001
Dryosaurus_altus,91.30000000000001,79
Dryosaurus_elderae,84.80000000000001,79
Fulgurotherium_australe,33.599999999999994,27.5
Sektensaurus_sanjuanboscoi,17.599999999999994,0
Yueosaurus_tiantaiensis,47,27.900000000000006
Planicoxa_venenica,59,47
Diluvicursor_pickeringi,56.459999999999994,43
Atlascopcosaurus_loadsi,56.459999999999994,43
Macrogryphosaurus_gondwanicus,23.299999999999997,19.799999999999997
Mahuidacursor_lipanglef,20.299999999999997,17.599999999999994
Trinisaura_santamartaensis,17.5,4.599999999999994
Leaellynasaura_amicagraphica,56.459999999999994,43
Galleonosaurus_dorisae,56.459999999999994,43
Isasicursor_santacrucensis,17.5,0
Anabisetia_saldiviai,27.5,23.299999999999997
Morrosaurus_antarcticus,4.599999999999994,0
Talenkauen_santacrucensis,17.599999999999994,0
Kangnasaurus_coetzeei,34.5,0
Osmakasaurus_depressus,91.30000000000001,59
Tenontosaurus_dossi,56.459999999999994,46.03
Tenontosaurus_tilletti,59,27.5
Craspedodon_lonzeensis,23.799999999999997,17.599999999999994
Lurdusaurus_arenatus,47,34.5
Iyuku_raathi,73.80000000000001,66.9
Convolosaurus_marri,56.459999999999994,46.03
Kulindadromeus_zabaikalicus,101.69999999999999,79
Hypsilophodon_foxii,64,59
Parksosaurus_warreni,4.599999999999994,0
Gasparinisaura_cincosaltensis,17.5,4.599999999999994
Daurosaurus_olovus,101.69999999999999,79
Thescelosaurus_neglectus,17.5,0
Thescelosaurus_garbanii,4.599999999999994,0
Thescelosaurus_edmontonensis,4.599999999999994,0
Thescelosaurus_assiniboiensis,4.599999999999994,0
Changchunsaurus_parvus,59,34.5
Weewarrasaurus_pobeni,33.599999999999994,27.5
Yuxisaurus_kopchicki,124.80000000000001,116.69999999999999
Stegouros_elengassen,17.5,0
Spicomellus_afer,101.69999999999999,97.5
Shamosaurus_scutatus,59,34.5
Bissektipelta_archibaldi,27.5,23.299999999999997
Ahshislepelta_minor,17.5,4.599999999999994
Cedarpelta_bilbeyhallorum,59,34.5
Aletopelta_coombsi,17.5,4.599999999999994
Oohkotokia_horneri,17.599999999999994,4.599999999999994
Zaraapelta_nomadis,34.5,17.599999999999994
Talarurus_plicatospineus,34.5,17.599999999999994
Tarchia_tumanovae,6.099999999999994,0
Tarchia_kielanae,17.5,4.599999999999994
Tarchia_teresae,6.099999999999994,0
Tsagantegia_longicranialis,34.5,17.599999999999994
Jinyunpelta_sinensis,47,34.5
Crichtonpelta_benxiensis,39.3,23.799999999999997
Anodontosaurus_lambei,17.5,0
Anodontosaurus_inceptus,17.5,0
Euoplocephalus_tutus,17.5,4.599999999999994
Scolosaurus_thronus,17.5,4.599999999999994
Scolosaurus_cutleri,17.5,4.599999999999994
Platypelta_coombsi,17.599999999999994,4.599999999999994
Dyoplosaurus_acutosquameus,17.5,4.599999999999994
Saichania_chulsanensis,34.5,4.599999999999994
Zuul_crurivastator,17.5,4.599999999999994
Ziapelta_sanjuanensis,17.5,4.599999999999994
Akainacephalus_johnsoni,17.5,4.599999999999994
Ankylosaurus_magniventris,4.599999999999994,0
Pinacosaurus_mephistocephalus,17.599999999999994,6.099999999999994
Pinacosaurus_grangeri,34.5,0
Nodocephalosaurus_kirtlandensis,17.5,4.599999999999994
Liaoningosaurus_paradoxus,64,56.459999999999994
Gobisaurus_domoculus,59,23.799999999999997
Chuanqilong_chaoyangensis,59,47
Dracopelta_zbyszewskii,84.80000000000001,79
Sinankylosaurus_zhuchengensis,17.599999999999994,6.099999999999994
Borealopelta_markmitchelli,59,47
Stegopelta_landerensis,33.599999999999994,27.5
Gastonia_burgei,73.80000000000001,66.9
Gastonia_lorriemcwhinneyae,59,34.5
Peloroplites_cedrimontanus,59,34.5
Anoplosaurus_curtonotus,33.599999999999994,27.5
Silvisaurus_condrayi,39.3,33.599999999999994
Hoplitosaurus_marshi,63.400000000000006,59
Gargoyleosaurus_parkpinorum,89.69999999999999,79
Polacanthus_foxii,79,33.599999999999994
Polacanthus_rudgwickensis,63.400000000000006,59
Propanoplosaurus_marylandicus,56.459999999999994,46.03
Europelta_carbonensis,46.03,43
Panoplosaurus_rugosidens,17.599999999999994,0
Panoplosaurus_mirus,17.5,4.599999999999994
Edmontonia_longiceps,17.5,0
Acantholipan_gonzalezi,17.599999999999994,6.099999999999994
Hungarosaurus_tormai,20.299999999999997,17.599999999999994
Dongyangopelta_yangyanensis,47,27.900000000000006
Glyptodontopelta_mimus,17.5,0
Niobrarasaurus_coleii,23.299999999999997,17.5
Texasetes_pleurohalio,39.3,33.599999999999994
Taohelong_jinchengensis,63.400000000000006,47
Pawpawsaurus_campbelli,39.3,33.599999999999994
Hylaeosaurus_armatus,74.19999999999999,43
Tatankacephalus_cooneyorum,47,34.5
Struthiosaurus_austriacus,17.5,0
Struthiosaurus_languedocensis,17.5,4.599999999999994
Struthiosaurus_transylvanicus,4.599999999999994,0
Sauropelta_edwardsorum,59,27.5
Nodosaurus_textilis,33.599999999999994,27.5
Animantarx_ramaljonesi,59,34.5
Sauroplites_scutiger,59,47
Invictarx_zephyri,17.5,4.599999999999994
Mymoorapelta_maysi,91.30000000000001,79
Kunbarrasaurus_ieversi,39.3,33.599999999999994
Sarcolestes_leedsi,98.69999999999999,95.19999999999999
Scutellosaurus_lawleri,135.3,116.69999999999999
Scelidosaurus_harrisonii,133.3,123.6
Emausaurus_ernsti,116.69999999999999,108.1
Bashanosaurus_primitivus,102.30000000000001,97.5
Adratiklit_boulahfa,101.69999999999999,97.5
Tuojiangosaurus_multispinus,102.30000000000001,97.5
Isaberrysaura_mollensis,105.6,102.4
Paranthodon_africanus,79,70.4
Huayangosaurus_taibaii,104.30000000000001,91.30000000000001
Changdusaurus_laminaplacodus,108.1,97.5
Loricatosaurus_priscus,98.69999999999999,95.19999999999999
Dacentrurus_armatus,91.30000000000001,79
Miragaia_longispinus,91.30000000000001,79
Miragaia_longicollum,89.69999999999999,79
Mongolostegus_exspectabilis,59,34.5
Hesperosaurus_mjosi,95.19999999999999,79
Jiangjunosaurus_junggarensis,97.5,91.30000000000001
Chungkingosaurus_jiangbeiensis,102.30000000000001,97.5
Gigantspinosaurus_sichuanensis,102.30000000000001,97.5
Lexovisaurus_phillipsi,97.5,91.30000000000001
Yingshanosaurus_jichuanensis,102.30000000000001,97.5
Diracodon_laticeps,91.30000000000001,79
Wuerhosaurus_homheni,73.80000000000001,34.5
Stegosaurus_stenops,91.30000000000001,79
Stegosaurus_sulcatus,91.30000000000001,79
Stegosaurus_duplex,91.30000000000001,79
Stegosaurus_ungulatus,91.30000000000001,79
Hypsirophus_discurus,86.1,79
Kentrosaurus_aethiopicus,97.5,79
Agilisaurus_louderbacki,104.30000000000001,91.30000000000001
Hexinlusaurus_multidens,104.30000000000001,91.30000000000001
Xiaosaurus_dashanpensis,104.30000000000001,91.30000000000001
Gongbusaurus_wucaiwanensis,100.1,91.30000000000001
Gongbusaurus_shiyii,102.30000000000001,97.5
Laquintasaura_venezuelae,135.3,133.3
Sanxiasaurus_modaoxiensis,116.69999999999999,104.30000000000001
Yandusaurus_hongheensis,104.30000000000001,102.30000000000001
Kulindapteryx_ukureica,101.69999999999999,79
Haya_griva,20.299999999999997,4.599999999999994
Notohypsilophodon_comodorensis,33.599999999999994,23.299999999999997
Pisanosaurus_mertii,171,162
Fruitadens_haagarorum,86.1,79
Heterodontosaurus_tucki,135.3,124.80000000000001
Abrictosaurus_consors,135.3,124.80000000000001
Lycorhinus_angustidens,135.3,124.80000000000001
Echinodon_becklesii,79,74.19999999999999
Manidens_condorensis,116,109.6
Pegomastax_africanus,135.3,124.80000000000001
Lesothosaurus_diagnosticus,135.3,124.80000000000001
Krzyzanowskisaurus_hunti,171,142.5
Ferganocephale_adenticulatum,100.1,97.5
Eoraptor_lunensis,171,162
Guaibasaurus_candelariensis,162,142.5
Agnosphitys_cromhallensis,142.5,135.3
Asylosaurus_yalensis,142.5,135.3
Meroktenos_thabanensis,162,135.3
Camelotia_borealis,142.5,135.3
Xingxiulong_chengi,135.3,133.3
