taxon_name,firstapp_max_ma,lastapp_min_ma
Eousdryosaurus nanohallucis,155.7,145
Dakotadon lakotaensis,139.8,132.9
Proa valdearinnoensis,112.03,109
Brighstoneus simmondsi,130,125.45
Tethyshadros insularis,83.5,70.6
Ratchasimasaurus suranareae,125,113
Probactrosaurus gobiensis,129.4,100.5
Batyrosaurus rozhdestvenskyi,86.3,70.6
Zhanghenglong yangchengensis,86.3,83.6
Datonglong tianzhenensis,100.5,72.1
Penelopognathus weishampeli,125,113
Fukuisaurus tetoriensis,125,113
Sirindhorna khoratensis,125,100.5
Huehuecanauhtlus tiquichensis,86.3,83.6
Morelladon beltrani,130,125.45
Zuoyunlong huangi,100.5,83.6
Yunganglong datongensis,100.5,83.6
Shuangmiaosaurus gilmorei,105.3,99.6
Claosaurus agilis,89.3,70.6
Cedrorestes crichtoni,139.8,132.9
Koshisaurus katsuyama,125,113
Gobihadros mongoliensis,100.5,83.6
Jeyawati rugoculus,93.5,89.3
Gilmoreosaurus mongoliensis,83.5,70.6
Telmatosaurus transsylvanicus,83.5,66
Equijubus normani,112.03,109
Xuwulong yueluni,125,113
Portellsaurus sosbaynati,130,125.45
Levnesovia transoxiana,93.5,89.3
Nanyangosaurus zhugeii,93.5,70.6
Gongpoquansaurus mazongshanensis,112.03,109
Plesiohadros djadokhtaensis,85.8,70.6
Fylax thyrakolasus,70.6,66
Jintasaurus meniscus,125,113
Protohadros byrdi,99.6,93.5
Eolambia caroljonesa,125,93.5
Tanius sinensis,89.8,72.1
Tanius chingkankouensis,83.6,72.1
Nanningosaurus dashiensis,100.5,66
Bactrosaurus johnsoni,100.5,66
Laiyangosaurus youngi,83.6,72.1
Barsboldia sicinskii,72.1,66
Rhinorex condrupus,83.5,70.6
Eotrachodon orientalis,85.8,83.5
Lapampasaurus cholinoi,83.5,66
Aquilarhinus palimentus,83.5,70.6
Yamatosaurus izanagii,70.6,66
Trachodon imperfectus,,
Trachodon atavus,,
Kazaklambia convincens,89.8,83.6
Adelolophus hutchisoni,83.5,70.6
Tsintaosaurus spinorhinus,83.6,72.1
Magnapaulia laticaudus,83.5,70.6
Olorotitan arharensis,70.6,66
Nipponosaurus sachalinensis,85.8,70.6
Arenysaurus ardevoli,70.6,66
Adynomosaurus arcanus,70.6,66
Pararhabdodon isonensis,70.6,66
Canardia garonnensis,70.6,66
Ajnabia odysseus,70.6,66
Blasisaurus canudoi,70.6,66
Charonosaurus jiayinensis,72.1,66
Parasaurolophus cyrtocristatus,83.5,70.6
Parasaurolophus walkeri,83.5,70.6
Parasaurolophus tubicen,83.5,70.6
Tlatolophus galorum,83.5,70.6
Angulomastacator daviesi,83.5,70.6
Amurosaurus riabinini,72.1,66
Aralosaurus tuberiferus,86.3,70.6
Jaxartosaurus aralensis,89.8,83.6
Latirhinus uitstlani,83.5,70.6
Hypacrosaurus altispinus,83.6,66
Hypacrosaurus stebingeri,83.6,70.6
Corythosaurus intermedius,83.5,70.6
Corythosaurus casuarius,83.6,70.6
Lambeosaurus clavinitialis,83.6,70.6
Lambeosaurus lambei,83.6,70.6
Lambeosaurus magnicristatus,83.5,70.6
Velafrons coahuilensis,83.5,70.6
Diclonius pentagonus,,
Kamuysaurus japonicus,70.6,66
Acristavus gagslarsoni,83.5,70.6
Wulagasaurus dongi,72.1,66
Maiasaura peeblesorum,83.6,72.1
Brachylophosaurus canadensis,83.6,70.6
Probrachylophosaurus bergei,83.5,70.6
Ornatops incantatus,83.5,70.6
Hadrosaurus foulkii,83.6,70.6
Secernosaurus koerneri,83.6,66
Kritosaurus navajovius,83.5,70.6
Kritosaurus horneri,,
Kelumapusaura machi,83.5,66
Naashoibitosaurus ostromi,83.5,70.6
Huallasaurus australis,83.5,66
Gryposaurus latidens,85.8,70.6
Gryposaurus notabilis,83.5,70.6
Gryposaurus monumentensis,83.5,70.6
Gryposaurus alsatei,70.6,66
Saurolophus angustirostris,72.1,66
Saurolophus osborni,83.5,66
Augustynolophus morrisi,70.6,66
Bonapartesaurus rionegrensis,83.5,66
Lophorhothon atopus,83.5,70.6
Prosaurolophus maximus,83.6,66
Mandschurosaurus amurensis,72.1,66
Ugrunaaluk kuukpikensis,70.6,66
Kerberosaurus manakini,70.6,66
Shantungosaurus giganteus,83.6,66
Edmontosaurus regalis,83.5,66
Edmontosaurus annectens,83.6,66
Anasazisaurus horneri,83.5,70.6
Siamodon nimngami,125,100.5
Magnamanus soriaensis,136.4,125.45
Theiophytalia kerri,125,100.5
Cumnoria prestwichii,155.7,150.8
Delapparentia turolensis,130,125.45
Hippodraco scutodens,139.8,132.9
Riabininohadros weberae,70.6,66
Iguanacolossus fortis,145,132.9
Lanzhousaurus magnidens,130,113
Elrhazosaurus nigeriensis,125,113
Valdosaurus canaliculatus,145,125
Callovosaurus leedsi,164.7,161.2
Dysalotosaurus lettowvorbecki,155.7,150.8
Dryosaurus altus,157.3,145
Dryosaurus grandis,,
Dryosaurus elderae,150.8,145
Fulgurotherium australe,99.6,93.5
Sektensaurus sanjuanboscoi,83.6,66
Yueosaurus tiantaiensis,113,93.9
Planicoxa venenica,125,113
Diluvicursor pickeringi,122.46,109
Atlascopcosaurus loadsi,122.46,109
Macrogryphosaurus gondwanicus,89.3,85.8
Mahuidacursor lipanglef,86.3,83.6
Trinisaura santamartaensis,83.5,70.6
Leaellynasaura amicagraphica,122.46,109
Galleonosaurus dorisae,122.46,109
Isasicursor santacrucensis,83.5,66
Anabisetia saldiviai,93.5,89.3
Morrosaurus antarcticus,70.6,66
Talenkauen santacrucensis,83.6,66
Kangnasaurus coetzeei,100.5,66
Osmakasaurus depressus,157.3,125
Tenontosaurus dossi,122.46,112.03
Tenontosaurus tilletti,125,93.5
Craspedodon lonzeensis,89.8,83.6
Lurdusaurus arenatus,113,100.5
Iyuku raathi,139.8,132.9
Convolosaurus marri,122.46,112.03
Kulindadromeus zabaikalicus,167.7,145
Hypsilophodon foxii,130,125
Parksosaurus warreni,70.6,66
Gasparinisaura cincosaltensis,83.5,70.6
Daurosaurus olovus,167.7,145
Thescelosaurus neglectus,83.5,66
Thescelosaurus garbanii,70.6,66
Thescelosaurus edmontonensis,70.6,66
Thescelosaurus assiniboiensis,70.6,66
Changchunsaurus parvus,125,100.5
Weewarrasaurus pobeni,99.6,93.5
Yuxisaurus kopchicki,190.8,182.7
Stegouros elengassen,83.5,66
Spicomellus afer,167.7,163.5
Shamosaurus scutatus,125,100.5
Bissektipelta archibaldi,93.5,89.3
Ahshislepelta minor,83.5,70.6
Cedarpelta bilbeyhallorum,125,100.5
Aletopelta coombsi,83.5,70.6
Oohkotokia horneri,83.6,70.6
Zaraapelta nomadis,100.5,83.6
Talarurus plicatospineus,100.5,83.6
Tarchia tumanovae,72.1,66
Tarchia kielanae,83.5,70.6
Tarchia teresae,72.1,66
Tsagantegia longicranialis,100.5,83.6
Jinyunpelta sinensis,113,100.5
Crichtonpelta benxiensis,105.3,89.8
Anodontosaurus lambei,83.5,66
Anodontosaurus inceptus,83.5,66
Euoplocephalus tutus,83.5,70.6
Scolosaurus thronus,83.5,70.6
Scolosaurus cutleri,83.5,70.6
Platypelta coombsi,83.6,70.6
Dyoplosaurus acutosquameus,83.5,70.6
Saichania chulsanensis,100.5,70.6
Zuul crurivastator,83.5,70.6
Ziapelta sanjuanensis,83.5,70.6
Akainacephalus johnsoni,83.5,70.6
Ankylosaurus magniventris,70.6,66
Pinacosaurus mephistocephalus,83.6,72.1
Pinacosaurus grangeri,100.5,66
Nodocephalosaurus kirtlandensis,83.5,70.6
Liaoningosaurus paradoxus,130,122.46
Gobisaurus domoculus,125,89.8
Chuanqilong chaoyangensis,125,113
Dracopelta zbyszewskii,150.8,145
Palaeoscincus magoder,,
Sinankylosaurus zhuchengensis,83.6,72.1
Borealopelta markmitchelli,125,113
