"tree","lower_HPD","median","upper_HPD"
"Benson1","231.22","237.76","249.9"
"Benson2","231.14","237.79","249.8"
"Lloyd1","231.69","237.05","248.69"
"Lloyd2","242.76","249.64","262.24"
