"tree","lower_HPD","median","upper_HPD"
"Benson1","104.45","364.09","862.5"
"Benson2","110.56","361.14","853.97"
"Lloyd1","120.96","452.94","1152.6"
"Lloyd2","185.54","524.42","1107.7"
