"tree","lower_HPD","median","upper_HPD"
"Benson1","229.11","235.71","242.91"
"Benson2","229.19","235.66","242.98"
"Lloyd1","229.34","235.73","242.99"
"Lloyd2","233.47","240.21","256.29"
